"measurementscale","fallwinterspring","grade","RIT","student_percentile"
"Mathematics","Spring",12,231,50
"Mathematics","Spring",0,159,55
"Mathematics","Spring",1,177,55
"Mathematics","Spring",2,189,55
"Mathematics","Spring",3,201,55
"Mathematics","Spring",4,212,55
"Mathematics","Spring",5,218,55
"Mathematics","Spring",6,223,55
"Mathematics","Spring",7,226,55
"Mathematics","Spring",8,231,55
"Mathematics","Spring",9,231,55
"Mathematics","Spring",10,234,55
"Mathematics","Spring",11,236,55
"Mathematics","Spring",12,234,55
"Mathematics","Spring",0,161,60
"Mathematics","Spring",1,179,60
"Mathematics","Spring",2,192,60
"Mathematics","Spring",3,203,60
"Mathematics","Spring",4,215,60
"Mathematics","Spring",5,221,60
"Mathematics","Spring",6,225,60
"Mathematics","Spring",7,229,60
"Mathematics","Spring",8,234,60
"Mathematics","Spring",9,234,60
"Mathematics","Spring",10,237,60
"Mathematics","Spring",11,239,60
"Mathematics","Spring",12,237,60
"Mathematics","Spring",0,163,65
"Mathematics","Spring",1,181,65
"Mathematics","Spring",2,194,65
"Mathematics","Spring",3,206,65
"Mathematics","Spring",4,217,65
"Mathematics","Spring",5,223,65
"Mathematics","Spring",6,227,65
"Mathematics","Spring",7,231,65
"Mathematics","Spring",8,237,65
"Mathematics","Spring",9,237,65
"Mathematics","Spring",10,240,65
"Mathematics","Spring",11,242,65
"Mathematics","Spring",12,240,65
"Mathematics","Spring",0,165,70
"Mathematics","Spring",1,183,70
"Mathematics","Spring",2,196,70
"Mathematics","Spring",3,208,70
"Mathematics","Spring",4,220,70
"Mathematics","Spring",5,226,70
"Mathematics","Spring",6,230,70
"Mathematics","Spring",7,234,70
"Mathematics","Spring",8,239,70
"Mathematics","Spring",9,240,70
"Mathematics","Spring",10,243,70
"Mathematics","Spring",11,245,70
"Mathematics","Spring",12,243,70
"Mathematics","Spring",0,167,75
"Mathematics","Spring",1,185,75
"Mathematics","Spring",2,198,75
"Mathematics","Spring",3,211,75
"Mathematics","Spring",4,222,75
"Mathematics","Spring",5,228,75
"Mathematics","Spring",6,233,75
"Mathematics","Spring",7,237,75
"Mathematics","Spring",8,242,75
"Mathematics","Spring",9,243,75
"Mathematics","Spring",10,246,75
"Mathematics","Spring",11,249,75
"Mathematics","Spring",12,247,75
"Mathematics","Spring",0,169,80
"Mathematics","Spring",1,187,80
"Mathematics","Spring",2,201,80
"Mathematics","Spring",3,213,80
"Mathematics","Spring",4,225,80
"Mathematics","Spring",5,232,80
"Mathematics","Spring",6,236,80
"Mathematics","Spring",7,240,80
"Mathematics","Spring",8,246,80
"Mathematics","Spring",9,247,80
"Mathematics","Spring",10,250,80
"Mathematics","Spring",11,252,80
"Mathematics","Spring",12,251,80
"Mathematics","Spring",0,171,85
"Mathematics","Spring",1,190,85
"Mathematics","Spring",2,204,85
"Mathematics","Spring",3,217,85
"Mathematics","Spring",4,229,85
"Mathematics","Spring",5,235,85
"Mathematics","Spring",6,239,85
"Mathematics","Spring",7,244,85
"Mathematics","Spring",8,250,85
"Mathematics","Spring",9,251,85
"Mathematics","Spring",10,254,85
"Mathematics","Spring",11,257,85
"Mathematics","Spring",12,255,85
"Mathematics","Spring",0,174,90
"Mathematics","Spring",1,193,90
"Mathematics","Spring",2,208,90
"Mathematics","Spring",3,221,90
"Mathematics","Spring",4,233,90
"Mathematics","Spring",5,240,90
